Party,Title,State,Full Name,Committees,Years in this Chamber,Gun Rights,NRA Grand Total,Top Industry,Total Industry Amount,Top Contributor,Total Contributor Amount,@Photo
Democrat,Representative,Florida,Charlie Crist,"Financial Services  
Science, Space, and Technology ",1,"$12,900","$10,150",Lawyers/Law Firms,"$230,551",Fran Haasch Law Group,"$32,000",
Democrat,Representative,New York,Joseph Crowley,Ways and Means ,19,$0,$0,Securities & Investment,"$1,912,907",Votesane PAC,"$182,560",/Users/enickles/Desktop/thumbsbw/Crowley_Joseph.jpg
Republican,Senator,Texas,Ted Cruz,"Armed Services
Commerce, Science, and Transportation
Rules and Administration 
Judiciary 
Joint Economic Committee",5,"$230,147","$77,450",Retired,"$15,799,002",Club for Growth,"$788,487",/Users/enickles/Desktop/thumbsbw/Cruz_Ted.jpg
Democrat,Representative,Texas,Henry Cuellar,Appropriations ,13,"$42,543","$26,719",Lawyers/Law Firms,"$719,638",Club for Growth,"$111,919",/Users/enickles/Desktop/thumbsbw/Cuellar_Henry.jpg
Republican,Representative,Texas,John Abney Culberson,Appropriations ,17,"$76,639","$41,389",Oil & Gas,"$832,361",National Assn of Realtors,"$88,000",/Users/enickles/Desktop/thumbsbw/Culberson_John_Abney.jpg
Democrat,Representative,Maryland,Elijah E. Cummings,"Oversight and Government Reform  
Transportation and Infrastructure ",23,$0,$0,Transportation Unions,"$695,500",United Auto Workers,"$106,500",/Users/enickles/Desktop/thumbsbw/Cummings_Elijah_E.jpg
Republican,Representative,Florida,Carlos Curbelo,Ways and Means ,3,"$56,734","$75,425",Leadership PACs,"$790,000",Leon Medical Centers,"$71,600",/Users/enickles/Desktop/thumbsbw/Curbelo_Carlos.jpg
Republican,Representative,Utah,John R. Curtis,"Foreign Affairs  
Natural Resources  
Small Business ",1,"$1,000","$1,000",Leadership PACs,"$68,000",Zions Bancorp,"$16,100",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Senator,Montana,Steve Daines,"Agriculture, Nutrition, and Forestry
Appropriations 
Energy and Natural Resources
Homeland Security and Governmental Affairs 
Committee on Indian Affairs",3,"$176,969","$121,711",Retired,"$819,588",Elliott Management,"$115,600",/Users/enickles/Desktop/thumbsbw/Daines_Steve.jpg
Republican,Representative,Ohio,Warren Davidson,Financial Services ,2,"$5,850","$2,000",Republican/Conservative,"$97,684",House Freedom Fund,"$58,525",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Illinois,Danny K. Davis,Ways and Means ,21,$0,$0,Public Sector Unions,"$536,350",National Assn of Letter Carriers,"$93,500",/Users/enickles/Desktop/thumbsbw/Davis_Danny_K.jpg
Republican,Representative,Illinois,Rodney Davis,"Agriculture  
Joint Comittee on Printing (House Administration)
Transportation and Infrastructure ",5,"$67,499","$45,269",Leadership PACs,"$649,536",McDonald's Corp,"$112,075",/Users/enickles/Desktop/thumbsbw/Davis_Rodney.jpg
Democrat,Representative,California,Susan A. Davis,"Armed Services  
Education and the Workforce ",17,$0,$0,Women's Issues,"$430,720",Qualcomm Inc,"$94,300",/Users/enickles/Desktop/thumbsbw/Davis_Susan_A.jpg
Democrat,Representative,Oregon,Peter A. DeFazio,Transportation and Infrastructure ,31,$0,$0,Transportation Unions,"$925,888",Air Line Pilots Assn,"$150,000",/Users/enickles/Desktop/thumbsbw/DeFazio_Peter_A.jpg
Democrat,Representative,Colorado,Diana DeGette,Energy and Commerce ,21,$0,$0,Lawyers/Law Firms,"$920,810",Democracy Engine,"$305,263",/Users/enickles/Desktop/thumbsbw/DeGette_Diana.jpg
Democrat,Representative,Maryland,John K. Delaney,"Financial Services 
Joint Economic Committee",5,$0,"-$7,138",Securities & Investment,"$816,915",CapitalSource Inc,"$129,250",/Users/enickles/Desktop/thumbsbw/Delaney_John_K.jpg
Democrat,Representative,Connecticut,Rosa L. DeLauro,Appropriations ,27,$0,$0,Health Professionals,"$951,178",Democracy Engine,"$227,455",/Users/enickles/Desktop/thumbsbw/DeLauro_Rosa_L.jpg
Democrat,Representative,Washington,Suzan K. DelBene,"Budget  
Ways and Means ",6,$0,"-$2,113",Electronics Mfg & Equip,"$730,928",Microsoft Corp,"$518,889",/Users/enickles/Desktop/thumbsbw/DelBene_Suzan_K.jpg
Democrat,Representative,Florida,Val Butler Demings,"Homeland Security  
Judiciary  
Oversight and Government Reform ",1,$0,"-$23,069",Telecom Services,"$24,350",Comcast Corp,"$11,500",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,California,Jeff Denham,"Agriculture  
Natural Resources  
Transportation and Infrastructure ",7,"$90,361","$46,861",Crop Production & Basic Processing,"$1,148,878",BNSF Railway,"$80,050",/Users/enickles/Desktop/thumbsbw/Denham_Jeff.jpg
Republican,Representative,Pennsylvania,Charles W. Dent,Appropriations ,13,"$67,401","$62,773",Health Professionals,"$860,324",PPL Corp,"$221,899",/Users/enickles/Desktop/thumbsbw/Dent_Charles_W.jpg
Republican,Representative,Florida,Ron DeSantis,"Foreign Affairs  
Judiciary  
Oversight and Government Reform ",5,"$27,529","$5,000",Retired,"$1,062,602",Club for Growth,"$267,620",/Users/enickles/Desktop/thumbsbw/DeSantis_Ron.jpg
Democrat,Representative,California,Mark DeSaulnier,"Education and the Workforce  
Oversight and Government Reform  
Transportation and Infrastructure ",3,$0,$0,Lawyers/Law Firms,"$145,456",International Brotherhood of Electrical Workers,"$35,000",/Users/enickles/Desktop/thumbsbw/DeSaulnier_Mark.jpg
Republican,Representative,Tennessee,Scott DesJarlais,"Agriculture  
Armed Services  
Oversight and Government Reform ",7,"$34,561","$2,973",Leadership PACs,"$384,950",Walker Die Casting,"$66,850",/Users/enickles/Desktop/thumbsbw/DesJarlais_Scott.jpg
Democrat,Representative,Florida,Theodore E. Deutch,"Ethics  
Foreign Affairs  
Judiciary ",8,$0,$0,Lawyers/Law Firms,"$685,472",Florida Crystals,"$61,700",/Users/enickles/Desktop/thumbsbw/Deutch_Theodore_E.jpg
Republican,Representative,Florida,Mario Diaz-Balart,"Appropriations  
Budget ",15,"$42,002","$32,002",Real Estate,"$535,699",Leon Medical Centers,"$122,850",/Users/enickles/Desktop/thumbsbw/Diaz-Balart_Mario.jpg
Democrat,Representative,Michigan,Debbie Dingell,"Energy and Commerce 
Joint Select Committee on Solvency of Multiemployer Pension Plans",3,$0,$0,Lawyers/Law Firms,"$197,454",Rock Holdings,"$43,850",/Users/enickles/Desktop/thumbsbw/Dingell_Debbie.jpg
Democrat,Representative,Texas,Lloyd Doggett,Ways and Means ,23,$0,-$64,Lawyers/Law Firms,"$2,567,470",American Assn for Justice,"$115,250",/Users/enickles/Desktop/thumbsbw/Doggett_Lloyd.jpg
Democrat,Senator,Indiana,Joe Donnelly,"Agriculture, Nutrition, and Forestry
Armed Services
Banking, Housing, and Urban Affairs
Special Committee on Aging",5,"$22,400","-$406,082",Lawyers/Law Firms,"$1,708,336",Votesane PAC,"$265,887",/Users/enickles/Desktop/thumbsbw/Donnelly_Joe.jpg
Republican,Representative,New York,Daniel M. Donovan Jr.,"Foreign Affairs  
Homeland Security ",3,$0,$0,Leadership PACs,"$232,700",Bram Corp,"$60,400",/Users/enickles/Desktop/thumbsbw/Donovan_Daniel_M.jpg
Democrat,Representative,Pennsylvania,Michael F. Doyle,Energy and Commerce ,23,$0,$0,Electric Utilities,"$610,427",Communications Workers of America,"$121,000",/Users/enickles/Desktop/thumbsbw/Doyle_Michael_F.jpg
Democrat,Senator,Illinois,Tammy Duckworth,"Commerce, Science, and Transportation
Energy and Natural Resources
Environment and Public Works 
Small Business and Entrepreneurship",1,$0,"-$6,422",Women's Issues,"$2,264,850",EMILY's List,"$776,233",/Users/enickles/Desktop/thumbsbw/Duckworth_Tammy.jpg
Republican,Representative,Wisconsin,Sean P. Duffy,Financial Services ,7,"$142,216","$54,514",Retired,"$813,864",Wausau Homes,"$67,000",/Users/enickles/Desktop/thumbsbw/Duffy_Sean_P.jpg
Republican,Representative,South Carolina,Jeff Duncan,Energy and Commerce ,7,"$36,750","$12,500",Oil & Gas,"$182,000",Club for Growth,"$130,100",/Users/enickles/Desktop/thumbsbw/Duncan_Jeff.jpg
Republican,Representative,Tennessee,John J. Duncan Jr.,"Oversight and Government Reform  
Transportation and Infrastructure ",31,"$25,701","$24,201",Air Transport,"$643,205",FedEx Corp,"$128,000",/Users/enickles/Desktop/thumbsbw/Duncan_John_J.jpg
Republican,Representative,Florida,Neal P. Dunn,"Agriculture  
Science, Space, and Technology  
Veterans' Affairs 
Joint Select Committee on Solvency of Multiemployer Pension Plans",1,"$7,699","$6,199",Health Professionals,"$145,120",Atlantic Urological Assoc,"$22,700",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Senator,Illinois,Richard J. Durbin,"Appropriations 
Rules and Administration 
Judiciary",21,$0,"-$3,470",Lawyers/Law Firms,"$5,283,095",Kirkland & Ellis,"$159,446",/Users/enickles/Desktop/thumbsbw/Durbin_Richard_J.jpg
Democrat,Representative,Minnesota,Keith Ellison,Financial Services ,11,$0,$0,Health Professionals,"$968,062",Communications Workers of America,"$62,555",/Users/enickles/Desktop/thumbsbw/Ellison_Keith.jpg
Republican,Representative,Minnesota,Tom Emmer,Financial Services ,3,"$5,877","$3,000",Retired,"$428,625",Hubbard Broadcasting,"$47,000",/Users/enickles/Desktop/thumbsbw/Emmer_Tom.jpg
Democrat,Representative,New York,Eliot L. Engel,"Energy and Commerce  
Foreign Affairs ",29,$0,$0,Pro-Israel,"$1,193,111",NorPAC,"$326,784",/Users/enickles/Desktop/thumbsbw/Engel_Eliot_L.jpg
Republican,Senator,Wyoming,Michael B. Enzi,"Budget
Finance 
Health, Education, Labor, and Pensions
Homeland Security and Governmental Affairs 
Small Business and Entrepreneurship",21,"$41,322","$24,722",Pharmaceuticals/Health Products,"$594,988",Deloitte LLP,"$68,749",/Users/enickles/Desktop/thumbsbw/Enzi_Michael_B.jpg
Republican,Senator,Iowa,Joni Ernst,"Agriculture, Nutrition, and Forestry
Armed Services
Environment and Public Works 
Small Business and Entrepreneurship
Joint Select Committee on Budget and Appropriations Process Reform",3,"$1,228,105","$3,124,273",Leadership PACs,"$363,036",Senate Conservatives Fund,"$35,344",/Users/enickles/Desktop/thumbsbw/Ernst_Joni_.jpg
Democrat,Representative,California,Anna G. Eshoo,Energy and Commerce ,25,$0,$0,Pharmaceuticals/Health Products,"$1,532,781",Cisco Systems,"$140,000",/Users/enickles/Desktop/thumbsbw/Eshoo_Anna_G.jpg
Democrat,Representative,New York,Adriano Espaillat,"Education and the Workforce  
Foreign Affairs  
Small Business ",1,$0,$0,Securities & Investment,"$25,200",Henry Schein Inc,"$14,300",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Kansas,Ron Estes,"Education and the Workforce  
Homeland Security ",1,"$6,979","$6,979",Leadership PACs,"$102,700",Northrock Inc,"$22,574",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Connecticut,Elizabeth H. Esty,"Science, Space, and Technology  
Transportation and Infrastructure  
Veterans' Affairs ",5,$0,$0,Lawyers/Law Firms,"$759,833",Yale University,"$88,246",/Users/enickles/Desktop/thumbsbw/Esty_Elizabeth_H.jpg
Democrat,Representative,Pennsylvania,Dwight Evans,"Agriculture  
Small Business ",2,$0,$0,Lawyers/Law Firms,"$40,410",Comcast Corp,"$13,500",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Texas,Blake Farenthold,"Judiciary  
Oversight and Government Reform  
Transportation and Infrastructure ",7,"$32,850","$9,500",Oil & Gas,"$329,977",Koch Industries,"$35,750",/Users/enickles/Desktop/thumbsbw/Farenthold_Blake.jpg
Republican,Representative,New York,John Faso,"Agriculture  
Budget  
Transportation and Infrastructure ",1,"$45,189","$44,939",Leadership PACs,"$110,036",Blackstone Group,"$14,500",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Senator,California,Dianne Feinstein,"Appropriations 
Rules and Administration 
Judiciary 
Select Committee on Intelligence 
United States Senate Caucus on International Narcotics Control",26,$0,$0,Lawyers/Law Firms,"$3,916,059",PG&E Corp,"$216,850",/Users/enickles/Desktop/thumbsbw/Feinstein_Dianne.jpg
Republican,Representative,Georgia,A. Drew Ferguson IV,"Budget  
Education and the Workforce  
Transportation and Infrastructure ",1,"$3,250","$3,000",Health Professionals,"$127,200",American Dental Assn,"$22,000",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Senator,Nebraska,Deb Fischer,"Agriculture, Nutrition, and Forestry
Armed Services
Commerce, Science, and Transportation
Environment and Public Works 
Rules and Administration 
Special Committee on Aging",5,"$65,351","$15,960",Leadership PACs,"$620,182",Senate Conservatives Fund,"$83,584",/Users/enickles/Desktop/thumbsbw/Fischer_Deb.jpg
Republican,Representative,Pennsylvania,Brian K. Fitzpatrick,"Foreign Affairs  
Homeland Security  
Small Business ",1,$0,$0,Leadership PACs,"$123,036",Wakefern Food,"$15,800",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Senator,Arizona,Jeff Flake,"Energy and Natural Resources
Foreign Relations
Judiciary 
Special Committee on Aging",5,"$395,352","$365,302",Republican/Conservative,"$1,488,893",Club for Growth,"$1,030,185",/Users/enickles/Desktop/thumbsbw/Flake_Jeff.jpg
Republican,Representative,Tennessee,"Charles J. ""Chuck"" Fleischmann",Appropriations ,7,"$22,491","$8,922",Leadership PACs,"$349,599",DeRoyal Industries,"$89,800",/Users/enickles/Desktop/thumbsbw/Fleischmann_Charles_J._.jpg
Republican,Representative,Texas,Bill Flores,Energy and Commerce ,7,"$39,500","$12,000",Oil & Gas,"$946,623",Energy Future Holdings Corp,"$60,262",/Users/enickles/Desktop/thumbsbw/Flores_Bill.jpg
Republican,Representative,Nebraska,Jeff Fortenberry,Appropriations ,13,"$42,128","$21,628",Leadership PACs,"$485,088",Sandhills Publishing,"$71,900",/Users/enickles/Desktop/thumbsbw/Fortenberry_Jeff.jpg
Democrat,Representative,Illinois,Bill Foster,"Financial Services  
Science, Space, and Technology ",8,$0,"-$9,859",Education,"$1,941,673",US Dept of Energy,"$518,701",/Users/enickles/Desktop/thumbsbw/Foster_Bill.jpg
Republican,Representative,North Carolina,Virginia Foxx,"Education and the Workforce, Chairwoman  
Oversight and Government Reform 
Joint Select Committee on Solvency of Multiemployer Pension Plans",13,"$33,960","$22,078",Retired,"$1,039,136",BB&T Corp,"$74,670",/Users/enickles/Desktop/thumbsbw/Foxx_Virginia.jpg
Democrat,Representative,Florida,Lois Frankel,"Foreign Affairs  
Transportation and Infrastructure ",5,$0,-$886,Lawyers/Law Firms,"$811,487","Searcy, Denney et al","$93,425",/Users/enickles/Desktop/thumbsbw/Frankel_Lois.jpg
Republican,Representative,New Jersey,Rodney P. Frelinghuysen,"Appropriations, Chairman ",23,"$11,400",$0,Retired,"$972,947",Lockheed Martin,"$229,550",/Users/enickles/Desktop/thumbsbw/Frelinghuysen_Rodney_P.jpg
Democrat,Representative,Ohio,Marcia L. Fudge,"Agriculture  
Education and the Workforce ",10,$0,$0,Public Sector Unions,"$226,500",American Federation of Teachers,"$50,000",/Users/enickles/Desktop/thumbsbw/Fudge_Marcia_L.jpg
Democrat,Representative,Hawaii,Tulsi Gabbard,"Armed Services  
Foreign Affairs ",5,$0,-$286,Retired,"$246,561",National Auto Dealers Assn,"$36,400",/Users/enickles/Desktop/thumbsbw/Gabbard_Tulsi.jpg
Republican,Representative,Florida,Matt Gaetz,"Armed Services  
Budget  
Judiciary ",1,"$3,000","$1,000",Defense Electronics,"$33,499",Southern Co,"$14,250",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Wisconsin,Mike Gallagher,"Armed Services  
Homeland Security ",1,"$45,902","$41,121",Securities & Investment,"$118,350",Willow Asset Management,"$16,200",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Arizona,Ruben Gallego,"Armed Services  
Natural Resources ",3,$0,$0,Lawyers/Law Firms,"$163,959",United Food & Commercial Workers Union,"$30,250",/Users/enickles/Desktop/thumbsbw/Gallego_Ruben.jpg
Democrat,Representative,California,John Garamendi,"Armed Services  
Transportation and Infrastructure ",9,$0,"-$7,030",Lawyers/Law Firms,"$472,970",International Brotherhood of Electrical Workers,"$55,000",/Users/enickles/Desktop/thumbsbw/Garamendi_John.jpg
Republican,Senator,Colorado,Cory Gardner,"Budget
Commission on Security and Cooperation in Europe 
Commerce, Science, and Transportation
Energy and Natural Resources
Foreign Relations",3,"$1,419,124","$3,879,264",Retired,"$1,751,905",Club for Growth,"$97,552",/Users/enickles/Desktop/thumbsbw/Gardner_Cory.jpg
Republican,Representative,Virginia,Thomas A. Garrett Jr.,"Education and the Workforce  
Foreign Affairs  
Homeland Security ",1,"$9,724","$7,620",Leadership PACs,"$63,000",House Freedom Fund,"$23,500",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Montana,Greg Gianforte,"Natural Resources  
Oversight and Government Reform ",1,"$128,815","$344,630",Retired,"$650,541",Jc Billion Inc,"$37,400",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Ohio,Bob Gibbs,"Agriculture  
Transportation and Infrastructure ",7,"$25,492","$3,198",Leadership PACs,"$354,418",Allied Machine & Engineering,"$75,300",/Users/enickles/Desktop/thumbsbw/Gibbs_Bob.jpg
Democrat,Senator,New York,Kirsten E. Gillibrand,"Agriculture, Nutrition, and Forestry
Armed Services
Environment and Public Works 
Special Committee on Aging",9,"$4,259","-$4,973",Lawyers/Law Firms,"$6,722,739","Boies, Schiller & Flexner","$753,533",/Users/enickles/Desktop/thumbsbw/Gillibrand_Kirsten_E.jpg
Republican,Representative,Texas,Louie Gohmert,"Judiciary  
Natural Resources ",13,"$41,131","$13,386",Retired,"$772,227",First State Bank & Trust,"$55,350",/Users/enickles/Desktop/thumbsbw/Gohmert_Louie.jpg
Democrat,Representative,California,Jimmy Gomez,"Natural Resources  
Oversight and Government Reform ",1,$0,$0,Lawyers/Law Firms,"$81,921",American Federation of State/Cnty/Munic Employees,"$16,100",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,Texas,Vicente Gonzalez,Financial Services ,1,$0,$0,Lawyers/Law Firms,"$60,550",International Brotherhood of Electrical Workers,"$15,000",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Virginia,Bob Goodlatte,"Judiciary, Chairman  
Agriculture ",25,"$164,724","$137,126",Retired,"$768,175",National Auto Dealers Assn,"$107,000",/Users/enickles/Desktop/thumbsbw/Goodlatte_Bob.jpg
Republican,Representative,Arizona,Paul A. Gosar,"Natural Resources  
Oversight and Government Reform ",7,"$26,908","$14,066",Health Professionals,"$993,559",Services Group Of America,"$71,300",/Users/enickles/Desktop/thumbsbw/Gosar_Paul_A.jpg
Democrat,Representative,New Jersey,Josh Gottheimer,Financial Services ,1,$0,"-$23,961",Securities & Investment,"$471,525",NorPAC,"$35,800",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,South Carolina,Trey Gowdy,"Oversight and Government Reform, Chairman  
Judiciary  
Permanent Select Committee on Intelligence ",7,"$28,750","$7,150",Retired,"$469,636",Koch Industries,"$40,000",/Users/enickles/Desktop/thumbsbw/Gowdy_Trey.jpg
Republican,Senator,South Carolina,Lindsey Graham,"Appropriations 
Armed Services
Budget 
Judiciary",15,"$94,962","$49,049",Lawyers/Law Firms,"$4,203,247","Nelson, Mullins et al","$276,747",/Users/enickles/Desktop/thumbsbw/Graham_Lindsey.jpg
Republican,Representative,Texas,Kay Granger,Appropriations ,21,"$48,464","$19,014",Oil & Gas,"$972,503",Lockheed Martin,"$485,750",/Users/enickles/Desktop/thumbsbw/Granger_Kay.jpg
Republican,Senator,Iowa,Chuck Grassley,"Agriculture, Nutrition, and Forestry
Budget 
Finance 
Judiciary 
Joint Committee on Taxation 
United States Senate Caucus on International Narcotics Control",37,"$378,786","$232,337",Insurance,"$1,618,175",DCI Group,"$142,937",/Users/enickles/Desktop/thumbsbw/Grassley_Chuck.jpg
Republican,Representative,Louisiana,Garret Graves,"Natural Resources  
Transportation and Infrastructure ",3,"$17,300","$5,900",Oil & Gas,"$372,834",Cajun Industries,"$50,400",/Users/enickles/Desktop/thumbsbw/Graves_Garret.jpg
Republican,Representative,Missouri,Sam Graves,"Armed Services  
Transportation and Infrastructure ",17,"$125,144","$102,137",Leadership PACs,"$678,678",Crawford Group,"$278,250",/Users/enickles/Desktop/thumbsbw/Graves_Sam.jpg
Republican,Representative,Georgia,Tom Graves,Appropriations ,8,"$36,150","$13,650",Real Estate,"$315,284",Club for Growth,"$132,750",/Users/enickles/Desktop/thumbsbw/Graves_Tom.jpg
Democrat,Representative,Texas,Al Green,Financial Services ,13,$0,$0,Lawyers/Law Firms,"$483,593",National Assn of Realtors,"$72,000",/Users/enickles/Desktop/thumbsbw/Green_Al.jpg
Democrat,Representative,Texas,Gene Green,Energy and Commerce ,25,"$52,314","$46,814",Health Professionals,"$1,234,302",Communications Workers of America,"$170,000",/Users/enickles/Desktop/thumbsbw/Green_Gene.jpg
Republican,Representative,Virginia,H. Morgan Griffith,Energy and Commerce ,7,"$33,638","$12,054",Health Professionals,"$310,750",Alpha Natural Resources,"$61,150",/Users/enickles/Desktop/thumbsbw/Griffith_H._Morgan.jpg
Democrat,Representative,Arizona,Raul M. Grijalva,"Education and the Workforce  
Natural Resources ",15,$0,"-$5,233",Public Sector Unions,"$423,746",National Education Assn,"$89,000",/Users/enickles/Desktop/thumbsbw/Grijalva_Raul_M.jpg
Democrat,Representative,New Mexico,Michelle Lujan Grisham,"Agriculture  
Budget ",5,$0,$0,Lawyers/Law Firms,"$574,500",University of New Mexico,"$57,080",/Users/enickles/Desktop/thumbsbw/Lujan_Grisham_Michelle.jpg
Republican,Representative,Wisconsin,Glenn Grothman,"Budget  
Education and the Workforce  
Oversight and Government Reform ",3,"$16,850","$4,000",Retired,"$346,163",Prosperity Action,"$30,000",/Users/enickles/Desktop/thumbsbw/Grothman_Glenn.jpg
Republican,Representative,Kentucky,Brett Guthrie,"Education and the Workforce  
Energy and Commerce ",9,"$16,500","$10,500",Health Professionals,"$986,143",Blue Cross/Blue Shield,"$55,250",/Users/enickles/Desktop/thumbsbw/Guthrie_Brett.jpg
Democrat,Representative,Illinois,Luis V. Gutierrez,Judiciary ,25,$0,$0,Lawyers/Law Firms,"$390,170",National Assn of Realtors,"$95,500",/Users/enickles/Desktop/thumbsbw/Gutierrez_Luis_V.jpg
Democrat,Representative,Hawaii,Colleen Hanabusa,"Armed Services  
Natural Resources  
Science, Space, and Technology ",7,$0,"-$13,088",Building Trade Unions,"$26,500",Sheet Metal Workers Union,"$19,000",/Users/enickles/Desktop/thumbsbw/Hanabusa_Colleen.jpg
Republican,Representative,Georgia,Karen C. Handel,"Education and the Workforce  
Judiciary 
Joint Economic Committee",1,"$44,672","$90,258",Retired,"$770,864",Susan B Anthony List,"$32,500",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Mississippi,Gregg Harper,"Energy and Commerce 
Joint Committee on Printing (House Administration), Chairman  
Joint Committee on the Library (House Administration), Chairman",9,"$18,650","$9,150",Oil & Gas,"$451,110",AT&T Inc,"$56,250",/Users/enickles/Desktop/thumbsbw/Harper_Gregg.jpg
Republican,Representative,Maryland,Andy Harris,Appropriations ,7,"$56,870","$25,447",Health Professionals,"$2,104,743",Club for Growth,"$345,251",/Users/enickles/Desktop/thumbsbw/Harris_Andy.jpg
Democrat,Senator,California,Kamala D. Harris,"Budget 
Homeland Security and Governmental Affairs 
Judiciary 
Select Committee on Intelligence",1,$0,$0,Lawyers/Law Firms,"$2,408,276",Time Warner,"$131,346",/Users/enickles/Desktop/thumbsbw/Harris_Kamala_D.jpg
Republican,Representative,Missouri,Vicky Hartzler,"Agriculture  
Armed Services ",7,"$110,364","$3,160",Retired,"$324,536",Orscheln Group,"$46,850",/Users/enickles/Desktop/thumbsbw/Hartzler_Vicky.jpg
Democrat,Senator,New Hampshire,Margaret Wood Hassan,"Commerce, Science, and Transportation
Health, Education, Labor, and Pensions
Homeland Security and Governmental Affairs 
Joint Economic Committee",1,$0,"-$139,111",Women's Issues,"$1,745,904",EMILY's List,"$561,379",/Users/enickles/Desktop/thumbsbw/Hassan_Margaret_Wood.jpg
Democrat,Representative,Florida,Alcee L. Hastings,Rules ,25,"$10,900","$10,900",Lawyers/Law Firms,"$712,328",Teamsters Union,"$106,500",/Users/enickles/Desktop/thumbsbw/Hastings_Alcee_L.jpg
Republican,Senator,Utah,Orrin G. Hatch,"Finance 
Health, Education, Labor, and Pensions
Judiciary 
Joint Committee on Taxation 
Joint Select Committee on Solvency of Multiemployer Pension Plans 
Special Committee on Aging",41,"$156,698","$140,748",Pharmaceuticals/Health Products,"$2,859,250",Votesane PAC,"$571,500",/Users/enickles/Desktop/thumbsbw/Hatch_Orrin_G.jpg
Democrat,Representative,Washington,Denny Heck,"Financial Services  
Permanent Select Committee on Intelligence ",5,$0,"-$91,801",Retired,"$466,795",State of Washington,"$96,989",/Users/enickles/Desktop/thumbsbw/Heck_Denny.jpg
Democrat,Senator,New Mexico,Martin Heinrich,"Armed Services
Energy and Natural Resources
Joint Economic Committee 
Select Committee on Intelligence",5,"$23,500","-$6,460",Lawyers/Law Firms,"$1,738,699",League of Conservation Voters,"$274,883",/Users/enickles/Desktop/thumbsbw/Heinrich_Martin.jpg
Democrat,Senator,North Dakota,Heidi Heitkamp,"Agriculture, Nutrition, and Forestry
Banking, Housing, and Urban Affairs
Homeland Security and Governmental Affairs 
Indian Affairs
Small Business and Entrepreneurship
Joint Select Committee on Solvency of Multiemployer Pension Plans 
United States Senate Caucus on International Narcotics Control",5,"$8,000","-$87,424",Lawyers/Law Firms,"$1,408,026",Motley Rice LLC,"$108,800",/Users/enickles/Desktop/thumbsbw/Heitkamp_Heidi.jpg
Republican,Senator,Nevada,Dean Heller,"Banking, Housing, and Urban Affairs
Commerce, Science, and Transportation
Finance 
Veterans' Affairs",7,"$184,626","$126,802",Leadership PACs,"$1,243,341",MGM Resorts International,"$179,200",/Users/enickles/Desktop/thumbsbw/Heller_Dean.jpg
Republican,Representative,Texas,Jeb Hensarling,"Financial Services, Chairman ",15,"$70,089","$29,087",Securities & Investment,"$1,524,961",JPMorgan Chase & Co,"$113,186",/Users/enickles/Desktop/thumbsbw/Hensarling_Jeb.jpg
Republican,Representative,Georgia,Jody B. Hice,"Armed Services  
Natural Resources  
Oversight and Government Reform ",3,"$33,567","$4,000",Retired,"$248,834",Janus Research,"$25,300",/Users/enickles/Desktop/thumbsbw/Hice_Jody_B.jpg
Democrat,Representative,New York,Brian Higgins,"Budget  
Ways and Means ",13,"$6,000","-$8,174",Lawyers/Law Firms,"$737,797",Operating Engineers Union,"$80,380",/Users/enickles/Desktop/thumbsbw/Higgins_Brian.jpg
Republican,Representative,Louisiana,Clay Higgins,"Homeland Security  
Science, Space, and Technology  
Veterans' Affairs ",1,"$3,500","-$1,665",Crop Production & Basic Processing,"$30,635",Majority Cmte PAC,"$15,000",
Republican,Representative,Arkansas,J. French Hill,Financial Services ,3,"$558,862","$1,089,477",Securities & Investment,"$622,321",Stephens Group,"$205,475",/Users/enickles/Desktop/thumbsbw/Hill_J._French.jpg
Democrat,Representative,Connecticut,James A. Himes,"Financial Services  
Permanent Select Committee on Intelligence ",9,$0,$0,Securities & Investment,"$2,787,522",Goldman Sachs,"$331,123",/Users/enickles/Desktop/thumbsbw/Himes_James_A.jpg
Democrat,Senator,Hawaii,Mazie K. Hirono,"Armed Services
Energy and Natural Resources
Small Business and Entrepreneurship
Veterans' Affairs
Judiciary 
Joint Select Committee on Budget and Appropriations Process Reform",5,$0,-$171,Lawyers/Law Firms,"$1,436,822",EMILY's List,"$280,623",/Users/enickles/Desktop/thumbsbw/Hirono_Mazie_K.jpg
