Party	Title	State	Full Name	Committees	Committee 1	Committee 2	Committee 3	Committee 4	Committee 5	Committee 6	Committee 7	Years in Current Chamber	NRA Rank	NRA Grand Total	Top Industry	Total Industry Amount	Top Contributor	Total Contributor Amount	@Photo
Republican	Representative	New York	Claudia Tenney	Financial Services 	Financial Services 							1	85	$46,529	Leadership PACs	$128,536	PricewaterhouseCoopers	$15,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Ohio	James B. Renacci	Budget   Ways and Means 	Budget  	Ways and Means 						7	86	$46,347	Insurance	$539,135	Timken Co	$161,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:Renacci_James_B.jpg
Republican	Representative	New York	John Katko	Homeland Security   Transportation and Infrastructure 	Homeland Security  	Transportation and Infrastructure 						3	87	$46,001	Leadership PACs	$469,541	Elliott Management	$55,816	Macintosh HD:Users:enickles:Desktop:thumbsbw:Katko_John.jpg
Republican	Representative	Oregon	Greg Walden	Energy and Commerce, Chairman 	Energy and Commerce, Chairman 							19	88	$45,746	Health Professionals	$982,289	National Assn of Broadcasters	$325,995	Macintosh HD:Users:enickles:Desktop:thumbsbw:Walden_Greg.jpg
Republican	Representative	Illinois	Rodney Davis	Agriculture   Joint Comittee on Printing (House Administration) Transportation and Infrastructure 	Agriculture  	Joint Comittee on Printing (House Administration)	Transportation and Infrastructure 					5	89	$45,269	Leadership PACs	$649,536	McDonald's Corp	$112,075	Macintosh HD:Users:enickles:Desktop:thumbsbw:Davis_Rodney.jpg
Republican	Representative	New York	John Faso	Agriculture   Budget   Transportation and Infrastructure 	Agriculture  	Budget  	Transportation and Infrastructure 					1	90	$44,939	Leadership PACs	$110,036	Blackstone Group	$14,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Iowa	Rod Blum	Oversight and Government Reform   Small Business 	Oversight and Government Reform  	Small Business 						3	91	$43,148	Leadership PACs	$366,875	McCoy Group	$49,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Blum_Rod.jpg
Republican	Representative	North Carolina	Patrick T. McHenry	Financial Services 	Financial Services 							13	92	$43,070	Securities & Investment	$1,064,406	Signature Bank	$150,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:McHenry_Patrick_T.jpg
Republican	Representative	Ohio	Robert E. Latta	Energy and Commerce 	Energy and Commerce 							11	93	$43,022	Retired	$349,840	Marathon Petroleum	$78,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Latta_Robert_E.jpg
Republican	Representative	Texas	John Abney Culberson	Appropriations 	Appropriations 							17	94	$41,389	Oil & Gas	$832,361	National Assn of Realtors	$88,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Culberson_John_Abney.jpg
Republican	Representative	Wisconsin	Mike Gallagher	Armed Services   Homeland Security 	Armed Services  	Homeland Security 						1	95	$41,121	Securities & Investment	$118,350	Willow Asset Management	$16,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Texas	Lamar Smith	Science, Space, and Technology, Chair   Homeland Security   Judiciary 	Science, Space, and Technology, Chair  	Homeland Security  	Judiciary 					31	96	$41,014	Oil & Gas	$772,347	AT&T Inc	$124,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Smith_Lamar.jpg
Republican	Representative	Missouri	Blaine Luetkemeyer	Financial Services   Small Business 	Financial Services  	Small Business 						9	97	$39,375	Insurance	$804,318	Diamond Pet Foods	$118,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Luetkemeyer_Blaine.jpg
Republican	Representative	California	Edward R. Royce	Foreign Affairs, Chairman   Financial Services 	Foreign Affairs, Chairman  	Financial Services 						25	98	$38,800	Real Estate	$1,728,756	NorPAC	$135,387	Macintosh HD:Users:enickles:Desktop:thumbsbw:Royce_Edward_R.jpg
Republican	Representative	Florida	Daniel Webster	Natural Resources   Science, Space, and Technology   Transportation and Infrastructure 	Natural Resources  	Science, Space, and Technology  	Transportation and Infrastructure 					7	99	$37,881	Real Estate	$423,138	The Villages	$71,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Webster_Daniel.jpg
Republican	Representative	California	Darrell E. Issa	Foreign Affairs   Judiciary   Oversight and Government Reform 	Foreign Affairs  	Judiciary  	Oversight and Government Reform 					17	100	$37,636	Retired	$947,796	AT&T Inc	$85,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:Issa_Darrell_E.jpg
Republican	Representative	Tennessee	Marsha Blackburn	Energy and Commerce 	Energy and Commerce 							15	101	$36,451	Health Professionals	$1,291,107	FedEx Corp	$100,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Blackburn_Marsha.jpg
Republican	Representative	Texas	Sam Johnson	Ways and Means 	Ways and Means 							27	102	$35,014	Insurance	$792,633	National Auto Dealers Assn	$116,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Johnson_Sam.jpg
Republican	Representative	California	Dana Rohrabacher	Foreign Affairs   Science, Space, and Technology 	Foreign Affairs  	Science, Space, and Technology 						29	103	$34,817	Real Estate	$620,814	Airtech Advanced Materials Group	$87,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rohrabacher_Dana.jpg
Republican	Representative	Pennsylvania	Patrick Meehan	Ways and Means 	Ways and Means 							7	104	$34,308	Lawyers/Law Firms	$1,121,716	Cozen O'Connor	$118,198	Macintosh HD:Users:enickles:Desktop:thumbsbw:Meehan_Patrick.jpg
Republican	Senator	Kansas	Jerry Moran	Appropriations  Banking, Housing, and Urban Affairs Commerce, Science, and Transportation Environment and Public Works  Indian Affairs Veterans' Affairs	Appropriations 	Banking, Housing, and Urban Affairs	Commerce, Science, and Transportation	Environment and Public Works 	Indian Affairs	Veterans' Affairs		7	105	$34,149	Crop Production & Basic Processing	$935,809	Ciciora Custom Homes	$149,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Moran_Jerry.jpg
Republican	Representative	California	Kevin McCarthy	Majority Leader 	Majority Leader 							11	106	$33,940	Securities & Investment	$2,158,502	Goldman Sachs	$238,350	Macintosh HD:Users:enickles:Desktop:thumbsbw:McCarthy_Kevin.jpg
Republican	Representative	Colorado	Doug Lamborn	Armed Services   Natural Resources 	Armed Services  	Natural Resources 						11	107	$32,560	Leadership PACs	$337,165	National Auto Dealers Assn	$65,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lamborn_Doug.jpg
Republican	Representative	Florida	Brian J. Mast	Foreign Affairs   Transportation and Infrastructure 	Foreign Affairs  	Transportation and Infrastructure 						1	108	$32,519	Retired	$258,710	Silgan Holdings	$23,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	Illinois	Peter J. Roskam	Ways and Means 	Ways and Means 							11	109	$32,216	Securities & Investment	$1,438,702	Exelon Corp	$146,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Roskam_Peter_J.jpg
Republican	Representative	Pennsylvania	Mike Kelly	Ways and Means 	Ways and Means 							7	110	$32,109	Insurance	$409,760	Armstrong Group of Companies	$84,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kelly_Mike.jpg
Republican	Representative	Florida	Mario Diaz-Balart	Appropriations   Budget 	Appropriations  	Budget 						15	111	$32,002	Real Estate	$535,699	Leon Medical Centers	$122,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Diaz-Balart_Mario.jpg
Republican	Representative	Minnesota	Erik Paulsen	Ways and Means  Joint Economic Committee, Chairman	Ways and Means 	Joint Economic Committee, Chairman						9	112	$31,613	Retired	$1,281,705	Target Corp	$150,128	Macintosh HD:Users:enickles:Desktop:thumbsbw:Paulsen_Erik.jpg
Republican	Representative	Texas	Mac Thornberry	Armed Services, Chairman 	Armed Services, Chairman 							23	113	$31,514	Defense Aerospace	$765,400	Lockheed Martin	$170,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Thornberry_Mac.jpg
Republican	Representative	Louisiana	Steve Scalise	Majority Whip  Energy and Commerce 	Majority Whip 	Energy and Commerce 						10	114	$31,300	Oil & Gas	$1,034,059	Votesane PAC	$254,696	Macintosh HD:Users:enickles:Desktop:thumbsbw:Scalise_Steve.jpg
Republican	Representative	Pennsylvania	Ryan A. Costello	Energy and Commerce 	Energy and Commerce 							3	115	$31,119	Leadership PACs	$527,119	Comcast Corp	$55,450	Macintosh HD:Users:enickles:Desktop:thumbsbw:Costello_Ryan_A.jpg
Republican	Representative	Alabama	Mike D. Rogers	Agriculture   Armed Services   Homeland Security 	Agriculture  	Armed Services  	Homeland Security 					15	116	$30,831	Health Professionals	$737,346	Southern Co	$215,118	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rogers_Mike_D.jpg
Republican	Representative	Texas	Kevin Brady	Ways and Means, Chairman  Joint Committe on Taxation	Ways and Means, Chairman 	Joint Committe on Taxation						21	117	$30,005	Oil & Gas	$1,606,762	Anadarko Petroleum	$176,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Brady_Kevin.jpg
Republican	Representative	Texas	Jeb Hensarling	Financial Services, Chairman 	Financial Services, Chairman 							15	118	$29,087	Securities & Investment	$1,524,961	JPMorgan Chase & Co	$113,186	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hensarling_Jeb.jpg
Republican	Representative	Texas	Michael T. McCaul	Homeland Security, Chairman   Foreign Affairs 	Homeland Security, Chairman  	Foreign Affairs 						13	119	$28,916	Real Estate	$573,718	iHeartCommunications Inc	$140,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:McCaul_Michael_T.jpg
Republican	Representative	Texas	Will Hurd	Homeland Security   Oversight and Government Reform   Permanent Select Committee on Intelligence 	Homeland Security  	Oversight and Government Reform  	Permanent Select Committee on Intelligence 					3	120	$27,771	Leadership PACs	$652,119	Hunt Companies	$55,338	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hurd_Will.jpg
Republican	Representative	Texas	John R. Carter	Appropriations 	Appropriations 							15	121	$27,014	Real Estate	$507,874	Dell Technologies	$118,496	Macintosh HD:Users:enickles:Desktop:thumbsbw:Carter_John_R.jpg
Republican	Representative	Washington	Cathy McMorris Rodgers	Energy and Commerce 	Energy and Commerce 							13	122	$26,766	Health Professionals	$880,954	Nelson Irrigation	$113,369	Macintosh HD:Users:enickles:Desktop:thumbsbw:McMorris_Rodgers_Cathy.jpg
Democratic	Representative	Texas	Henry Cuellar	Appropriations 	Appropriations 							13	123	$26,719	Lawyers/Law Firms	$719,638	Club for Growth	$111,919	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cuellar_Henry.jpg
Republican	Representative	Oklahoma	Tom Cole	Appropriations   Budget   Rules 	Appropriations  	Budget  	Rules 					15	124	$26,521	Oil & Gas	$824,900	Chickasaw Nation	$137,361	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cole_Tom.jpg
Republican	Representative	Maryland	Andy Harris	Appropriations 	Appropriations 							7	125	$25,447	Health Professionals	$2,104,743	Club for Growth	$345,251	Macintosh HD:Users:enickles:Desktop:thumbsbw:Harris_Andy.jpg
Republican	Representative	Virginia	Robert J. Wittman	Armed Services   Natural Resources 	Armed Services  	Natural Resources 						11	126	$25,221	Misc Defense	$375,436	Huntington Ingalls Industries	$95,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Wittman_Robert_J.jpg
Democratic	Representative	Ohio	Tim Ryan	Appropriations 	Appropriations 							15	127	$24,805	Lawyers/Law Firms	$517,754	Machinists/Aerospace Workers Union	$90,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ryan_Tim.jpg
Republican	Senator	Wyoming	Michael B. Enzi	Budget Finance  Health, Education, Labor, and Pensions Homeland Security and Governmental Affairs  Small Business and Entrepreneurship	Budget	Finance 	Health, Education, Labor, and Pensions	Homeland Security and Governmental Affairs 	Small Business and Entrepreneurship			21	128	$24,722	Pharmaceuticals/Health Products	$594,988	Deloitte LLP	$68,749	Macintosh HD:Users:enickles:Desktop:thumbsbw:Enzi_Michael_B.jpg
Republican	Representative	Utah	Rob Bishop	Natural Resources, Chairman   Armed Services 	Natural Resources, Chairman  	Armed Services 						15	129	$24,302	Oil & Gas	$439,716	Es3 Inc	$95,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bishop_Rob.jpg
Republican	Representative	Tennessee	John J. Duncan Jr.	Oversight and Government Reform   Transportation and Infrastructure 	Oversight and Government Reform  	Transportation and Infrastructure 						31	130	$24,201	Air Transport	$643,205	FedEx Corp	$128,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Duncan_John_J.jpg
Republican	Representative	Ohio	Michael R. Turner	Armed Services   Permanent Select Committee on Intelligence 	Armed Services  	Permanent Select Committee on Intelligence 						15	131	$23,465	Real Estate	$466,525	Sugar Creek Packing	$154,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Turner_Michael_R.jpg
Republican	Senator	Tennessee	Lamar Alexander	Appropriations  Energy and Natural Resources Health, Education, Labor, and Pensions Rules and Administration  Joint Select Committee on Solvency of Multiemployer Pension Plans	Appropriations 	Energy and Natural Resources	Health, Education, Labor, and Pensions	Rules and Administration 	Joint Select Committee on Solvency of Multiemployer Pension Plans			15	132	$23,426	Pharmaceuticals/Health Products	$671,601	Blue Cross/Blue Shield	$101,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Alexander_Lamar.jpg
Republican	Representative	California	Devin Nunes	Permanent Select Committee on Intelligence, Chairman   Ways and Means  Joint Committee on Taxation	Permanent Select Committee on Intelligence, Chairman  	Ways and Means 	Joint Committee on Taxation					15	133	$23,030	Crop Production & Basic Processing	$1,482,907	AT&T Inc	$80,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Nunes_Devin.jpg
Republican	Representative	Tennessee	Diane Black	Budget   Ways and Means 	Budget  	Ways and Means 						7	134	$22,991	Health Professionals	$539,701	Votesane PAC	$108,725	Macintosh HD:Users:enickles:Desktop:thumbsbw:Black_Diane.jpg
Republican	Senator	Wyoming	John Barrasso	Energy and Natural Resources Environment and Public Works  Foreign Relations Committee on Indian Affairs	Energy and Natural Resources	Environment and Public Works 	Foreign Relations	Committee on Indian Affairs				11	135	$22,489	Health Professionals	$1,292,626	Chevron Corp	$65,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:Barrasso_John.jpg
Republican	Representative	New York	Tom Reed	Ways and Means 	Ways and Means 							8	136	$22,162	Securities & Investment	$748,834	Corning Inc	$235,035	Macintosh HD:Users:enickles:Desktop:thumbsbw:Reed_Tom.jpg
Republican	Representative	North Carolina	Virginia Foxx	Education and the Workforce, Chairwoman   Oversight and Government Reform  Joint Select Committee on Solvency of Multiemployer Pension Plans	Education and the Workforce, Chairwoman  	Oversight and Government Reform 	Joint Select Committee on Solvency of Multiemployer Pension Plans					13	137	$22,078	Retired	$1,039,136	BB&T Corp	$74,670	Macintosh HD:Users:enickles:Desktop:thumbsbw:Foxx_Virginia.jpg
Republican	Representative	Washington	David G. Reichert	Ways and Means 	Ways and Means 							13	138	$21,778	Retired	$1,234,146	Microsoft Corp	$250,842	Macintosh HD:Users:enickles:Desktop:thumbsbw:Reichert_David_G.jpg
Republican	Representative	Nebraska	Jeff Fortenberry	Appropriations 	Appropriations 							13	139	$21,628	Leadership PACs	$485,088	Sandhills Publishing	$71,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:Fortenberry_Jeff.jpg
Republican	Senator	North Dakota	John Hoeven	Agriculture, Nutrition, and Forestry Appropriations  Energy and Natural Resources Homeland Security and Governmental Affairs  Committee on Indian Affairs	Agriculture, Nutrition, and Forestry	Appropriations 	Energy and Natural Resources	Homeland Security and Governmental Affairs 	Committee on Indian Affairs			7	140	$21,050	Oil & Gas	$638,962	Murray Energy	$63,804	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hoeven_John.jpg
Republican	Representative	Indiana	Jackie Walorski	Ways and Means 	Ways and Means 							5	141	$20,572	Retired	$516,125	Bremen Castings	$110,350	Macintosh HD:Users:enickles:Desktop:thumbsbw:Walorski_Jackie.jpg
Republican	Representative	Wisconsin	F. James Sensenbrenner Jr.	Foreign Affairs   Judiciary 	Foreign Affairs  	Judiciary 						39	142	$20,468	Insurance	$310,065	NCTA The Internet & Television Assn	$84,994	Macintosh HD:Users:enickles:Desktop:thumbsbw:Sensenbrenner_F._James.jpg
Republican	Representative	Florida	Vern Buchanan	Ways and Means  Joint Select Committee on Solvency of Multiemployer Pension Plans	Ways and Means 	Joint Select Committee on Solvency of Multiemployer Pension Plans						11	143	$19,940	Real Estate	$1,133,510	Benderson Development	$169,80	Macintosh HD:Users:enickles:Desktop:thumbsbw:Buchanan_Vern.jpg
Republican	Representative	North Carolina	Richard Hudson	Energy and Commerce 	Energy and Commerce 							5	144	$19,525	Leadership PACs	$452,380	Hendrick Motorsports	$52,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hudson_Richard.jpg
Republican	Representative	Florida	Dennis A. Ross	Financial Services   Oversight and Government Reform 	Financial Services  	Oversight and Government Reform 						7	145	$19,375	Insurance	$623,337	Publix Super Markets	$123,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ross_Dennis_A.jpg
Republican	Representative	Texas	Kay Granger	Appropriations 	Appropriations 							21	146	$19,014	Oil & Gas	$972,503	Lockheed Martin	$485,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Granger_Kay.jpg
Republican	Senator	Oklahoma	James Lankford	Appropriations  Homeland Security and Governmental Affairs  Indian Affairs Joint Select Committee on Budget and Appropriations Process Reform  Select Committee on Intelligence	Appropriations 	Homeland Security and Governmental Affairs 	Indian Affairs	Joint Select Committee on Budget and Appropriations Process Reform 	Select Committee on Intelligence			3	147	$18,955	Oil & Gas	$1,108,495	Devon Energy	$109,820	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lankford_James.jpg
Republican	Senator	Idaho	James E. Risch	Energy and Natural Resources Foreign Relations Small Business and Entrepreneurship Select Committee on Ethics  Select Committee on Intelligence  United States Senate Caucus on International Narcotics Control	Energy and Natural Resources	Foreign Relations	Small Business and Entrepreneurship	Select Committee on Ethics 	Select Committee on Intelligence 	United States Senate Caucus on International Narcotics Control		9	148	$18,850	Leadership PACs	$366,309	Senate Victory Fund	$30,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Risch_James_E.jpg
Republican	Representative	Nevada	Mark E. Amodei	Appropriations 	Appropriations 							7	149	$18,640	Casinos/Gambling	$234,079	Las Vegas Sands	$42,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:Amodei_Mark_E.jpg
Republican	Senator	South Carolina	Tim Scott	Armed Services Banking, Housing, and Urban Affairs Finance  Health, Education, Labor, and Pensions Small Business and Entrepreneurship Special Committee on Aging	Armed Services	Banking, Housing, and Urban Affairs	Finance 	Health, Education, Labor, and Pensions	Small Business and Entrepreneurship	Special Committee on Aging		5	150	$18,513	Securities & Investment	$1,179,575	Club for Growth	$119,225	Macintosh HD:Users:enickles:Desktop:thumbsbw:Scott_Tim.jpg
Republican	Representative	Nebraska	Don Bacon	Agriculture   Armed Services   Homeland Security 	Agriculture  	Armed Services  	Homeland Security 					1	151	$18,328	Leadership PACs	$126,500	Green Plains	$13,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	South Carolina	Joe Wilson	Armed Services   Education and the Workforce   Foreign Affairs 	Armed Services  	Education and the Workforce  	Foreign Affairs 					17	152	$18,177	Health Professionals	$497,297	Blue Cross/Blue Shield	$95,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Wilson_Joe.jpg
Republican	Senator	Maine	Susan M. Collins	Appropriations  Health, Education, Labor, and Pensions Select Committee on Intelligence  Special Committee on Aging	Appropriations 	Health, Education, Labor, and Pensions	Select Committee on Intelligence 	Special Committee on Aging				21	153	$18,099	Retired	$1,318,169	General Dynamics	$163,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:Collins_Susan_M.jpg
Republican	Representative	Illinois	Darin LaHood	Ways and Means  Joint Economic Committe	Ways and Means 	Joint Economic Committe						3	154	$17,990	Retired	$192,733	Caterpillar Inc	$50,560	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Democratic	Representative	Minnesota	Timothy J. Walz	Agriculture   Veterans' Affairs 	Agriculture  	Veterans' Affairs 						11	155	$17,250	Retired	$887,451	Robins, Kaplan et al	$178,958	Macintosh HD:Users:enickles:Desktop:thumbsbw:Walz_Timothy_J.jpg
Republican	Representative	Texas	Michael C. Burgess	Energy and Commerce   Rules 	Energy and Commerce  	Rules 						15	156	$17,214	Health Professionals	$2,365,419	American Medical Assn	$85,216	Macintosh HD:Users:enickles:Desktop:thumbsbw:Burgess_Michael_C.jpg
Republican	Representative	Nebraska	Adrian Smith	Joint Committee on Printing (House Administration)   Ways and Means 	Joint Committee on Printing (House Administration)  	Ways and Means 						11	157	$16,800	Insurance	$487,096	Club for Growth	$235,386	Macintosh HD:Users:enickles:Desktop:thumbsbw:Smith_Adrian.jpg
Republican	Representative	Florida	Gus M. Bilirakis	Energy and Commerce   Veterans' Affairs 	Energy and Commerce  	Veterans' Affairs 						11	158	$16,450	Health Professionals	$1,118,098	Royal Brush Manufacturing	$70,481	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bilirakis_Gus_M.jpg
Republican	Representative	Illinois	Randy Hultgren	Financial Services   Science, Space, and Technology 	Financial Services  	Science, Space, and Technology 						7	159	$16,254	Securities & Investment	$705,200	Performance Trust Capital Partners	$192,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hultgren_Randy.jpg
Republican	Representative	Texas	K. Michael Conaway	Agriculture, Chairman   Armed Services   Permanent Select Committee on Intelligence 	Agriculture, Chairman  	Armed Services  	Permanent Select Committee on Intelligence 					13	160	$16,064	Oil & Gas	$1,369,342	American Institute of CPAs	$84,620	Macintosh HD:Users:enickles:Desktop:thumbsbw:Conaway_K._Michael.jpg
Republican	Senator	Nebraska	Deb Fischer	Agriculture, Nutrition, and Forestry Armed Services Commerce, Science, and Transportation Environment and Public Works  Rules and Administration  Special Committee on Aging	Agriculture, Nutrition, and Forestry	Armed Services	Commerce, Science, and Transportation	Environment and Public Works 	Rules and Administration 	Special Committee on Aging		5	161	$15,960	Leadership PACs	$620,182	Senate Conservatives Fund	$83,584	Macintosh HD:Users:enickles:Desktop:thumbsbw:Fischer_Deb.jpg
Republican	Representative	Florida	Bill Posey	Financial Services   Science, Space, and Technology 	Financial Services  	Science, Space, and Technology 						9	162	$15,936	Health Professionals	$492,950	Harris Corp	$133,875	Macintosh HD:Users:enickles:Desktop:thumbsbw:Posey_Bill.jpg
Republican	Representative	Ohio	Jim Jordan	Judiciary   Oversight and Government Reform 	Judiciary  	Oversight and Government Reform 						11	163	$15,878	Misc Manufacturing & Distributing	$402,750	American Dental Assn	$59,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Jordan_Jim.jpg
Republican	Representative	Texas	Ted Poe	Foreign Affairs   Judiciary 	Foreign Affairs  	Judiciary 						13	164	$15,436	Lawyers/Law Firms	$496,232	Credit Union National Assn	$62,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Poe_Ted.jpg
Republican	Representative	Texas	Pete Olson	Energy and Commerce 	Energy and Commerce 							9	165	$15,303	Oil & Gas	$1,022,800	Koch Industries	$65,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:Olson_Pete.jpg
Republican	Representative	West Virginia	Alexander X. Mooney	Financial Services 	Financial Services 							3	166	$15,016	Leadership PACs	$389,442	Nutramax Laboratories	$43,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Mooney_Alexander_X.jpg
Republican	Representative	Texas	Kenny Marchant	Ethics   Ways and Means 	Ethics  	Ways and Means 						13	167	$14,814	Insurance	$440,282	Credit Union National Assn	$81,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Marchant_Kenny.jpg
Republican	Representative	Idaho	Raul R. Labrador	Judiciary   Natural Resources 	Judiciary  	Natural Resources 						7	168	$14,813	Leadership PACs	$156,764	LCF Enterprises	$40,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:Labrador_Raul_R.jpg
Republican	Representative	Arizona	Paul A. Gosar	Natural Resources   Oversight and Government Reform 	Natural Resources  	Oversight and Government Reform 						7	169	$14,066	Health Professionals	$993,559	Services Group Of America	$71,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gosar_Paul_A.jpg
Republican	Representative	Georgia	Tom Graves	Appropriations 	Appropriations 							8	170	$13,650	Real Estate	$315,284	Club for Growth	$132,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Graves_Tom.jpg
Republican	Representative	California	Stephen Knight	Armed Services   Science, Space, and Technology   Small Business 	Armed Services  	Science, Space, and Technology  	Small Business 					3	171	$13,487	Leadership PACs	$476,200	Majority Cmte PAC	$25,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Knight_Stephen.jpg
Republican	Representative	Texas	Louie Gohmert	Judiciary   Natural Resources 	Judiciary  	Natural Resources 						13	172	$13,386	Retired	$772,227	First State Bank & Trust	$55,350	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gohmert_Louie.jpg
Republican	Representative	California	Duncan D. Hunter	Armed Services   Education and the Workforce   Transportation and Infrastructure 	Armed Services  	Education and the Workforce  	Transportation and Infrastructure 					9	173	$13,000	Defense Aerospace	$307,200	General Atomics	$95,750	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hunter_Duncan_D.jpg
Republican	Representative	North Carolina	Robert Pittenger	Financial Services 	Financial Services 							5	174	$12,712	Retired	$397,850	Massachusetts Mutual Life Insurance	$57,950	Macintosh HD:Users:enickles:Desktop:thumbsbw:Pittenger_Robert.jpg
Republican	Representative	North Dakota	Kevin Cramer	Energy and Commerce 	Energy and Commerce 							5	175	$12,711	Oil & Gas	$821,850	Oasis Petroleum	$63,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cramer_Kevin.jpg
Republican	Representative	South Carolina	Jeff Duncan	Energy and Commerce 	Energy and Commerce 							7	176	$12,500	Oil & Gas	$182,000	Club for Growth	$130,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:Duncan_Jeff.jpg
Republican	Representative	South Carolina	Mark Sanford	Budget   Oversight and Government Reform   Transportation and Infrastructure 	Budget  	Oversight and Government Reform  	Transportation and Infrastructure 					11	177	$12,290	Real Estate	$375,999	Lazard Freres & Co	$38,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Sanford_Mark.jpg
Republican	Representative	Michigan	Fred Upton	Energy and Commerce 	Energy and Commerce 							31	178	$12,106	Health Professionals	$1,717,618	National Assn of Broadcasters	$204,091	Macintosh HD:Users:enickles:Desktop:thumbsbw:Upton_Fred.jpg
Republican	Representative	Virginia	H. Morgan Griffith	Energy and Commerce 	Energy and Commerce 							7	179	$12,054	Health Professionals	$310,750	Alpha Natural Resources	$61,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:Griffith_H._Morgan.jpg
Republican	Representative	Texas	Bill Flores	Energy and Commerce 	Energy and Commerce 							7	180	$12,000	Oil & Gas	$946,623	Energy Future Holdings Corp	$60,262	Macintosh HD:Users:enickles:Desktop:thumbsbw:Flores_Bill.jpg
Republican	Representative	Michigan	Bill Huizenga	Financial Services 	Financial Services 							7	181	$11,650	Insurance	$563,398	Amway/Alticor Inc	$89,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:Huizenga_Bill.jpg
Democratic	Senator	West Virginia	Joe Manchin III	Appropriations  Energy and Natural Resources Veterans' Affairs Joint Select Committee on Solvency of Multiemployer Pension Plans  Select Committee on Intelligence	Appropriations 	Energy and Natural Resources	Veterans' Affairs	Joint Select Committee on Solvency of Multiemployer Pension Plans 	Select Committee on Intelligence			8	182	$11,450	Lawyers/Law Firms	$902,063	FirstEnergy Corp	$144,450	Macintosh HD:Users:enickles:Desktop:thumbsbw:Manchin_Joe.jpg
